ArticleID,Topic,Reviews
70301542,Quality,"Perfect for vinyl record storage. Must mount it though. This is perfect for my album collection. I used metal wall anchors from the hardware store to mount all four corners to the wall. I have about 900 vinyl albums and this holds them perfectly. As always follow the directions. Assembling on a carpet using a level are important. I also added wood glue to all the dowels **so they stay solid**. | **Nice product**. I would love to see them add a way to secure them to each other on the sides but over all it looks great.| Space saving, beautiful. Used this to replace a dresser in a small house, wish we saw it sooner! Able to organize and save space! Still have ample room on it for more. The doors **and drawers are fantastic**. 
Easy to put together , Even for this old person!| Cardboard inside **the walls! Not solid particle board.**. Bookshelf is fine until the day you want to move it. Ours got weaker and started to wobble, so I wanted to lay it down on its face to add metal braces to the back corners, and the thing just ripped apart under its own weight. I am glad it did because I can see now that the outer edge pieces are thin strips of MDF with cardboard filler! I can't believe they can sell this as a safe product."
70301542,Ease of Assembly,"Kallak shelves are excellent.. We have 5 of these shelving units in our house.  My wife uses them for her art supplies.  They were delivered to my house and brought upstairs.  **Assembly is easy**.  Great units.| Perfect for vinyl record storage. Must mount it though. This is perfect for my album collection. I used metal wall anchors from the hardware store to mount all four corners to the wall. I have about 900 vinyl albums and this holds them perfectly. As always follow the directions. **Assembling on a carpet** using a level are important. I also added wood glue to all the dowels so they stay solid. | Love the modularity. I love the look of **the shelf unit, assembly was very easy,** and the idea of modules which are drawers, cabinets, or baskets is pure genius. Unfortunately it is not very stable and I suspect that it will need bracing before too long for it not to collapse.| Dowels do not fit into shelves. I've put together several of the smaller Kallax shelves over the year with no problem. Unfortunately, with this unit the dowels are too large and do not fit in the shelves. I called to complain after ruining a couple of the shelves and dowels, was sent a new one and had the same problem. I had to redrill all the holes so the dowels would fit - very time consuming for what should **be an easy assembly**. Noticed this complaint in other reviews and should have paid attention."
70301542,Appearance,"Nice product. I would love to see them add a way to secure them to each other on the sides but **over all it looks great.**| Love the modularity. **I love the look of the shelf** unit, assembly was very easy, and the idea of modules which are drawers, cabinets, or baskets is pure genius. Unfortunately it is not very stable and I suspect that it will need bracing before too long for it not to collapse.| Love this! All is hidden. I do a lot of arts and crafts and this helped me organize all my materials. **Also, looks beautiful in my** living room and no one can see what is inside. No mess, no mess!!!!! ❤️| Nearly perfect shelving unit. Firstly, I love my Kallax shelf unit. It works perfectly as a room divider for a **small apartment and looks great overall**. Definitely need at least two people to assemble, if only for the part where you sit the shelving unit right side up. I would give it five stars, however, multiple pieces arrived damaged (paint chipped off, multiple ~2 in gouges in the particle board). I'm sure Ikea would have replaced the damaged parts, but I was already at my wit's end after trying to return another item over the course of four weeks."
70301542,Functionality,"Kallak shelves are excellent.. We have 5 of these shelving units in our house.  **My wife uses them for her** art supplies.  They were delivered to my house and brought upstairs.  Assembly is easy.  Great units.| **Love the modularity**. I love the look of the shelf unit, assembly was very easy, and the idea of modules which are drawers, cabinets, or baskets is pure genius. Unfortunately it is not very stable and I suspect that it will need bracing before too long for it not to collapse.| Excellent LP records storage. **Minimalist and practical.**| Sturdy. **Sleek design, sturdy structure, lots of storage**"
70301542,Sturdiness,"Perfect for vinyl record storage. Must mount it though. This is perfect for my album collection. I used metal wall anchors from the hardware store to mount all four corners to the wall. I have about 900 vinyl albums and this holds them perfectly. As always follow the directions. Assembling on a carpet using a level are important. I also added wood glue to all the dowels **so they stay solid**. | Nice product. I would love to see them add **a way to secure them to each** other on the sides but over all it looks great.| Space saving, beautiful. Used this to replace a dresser in a small house, wish we **saw it sooner! Able to organize and** save space! Still have ample room on it for more. The doors and drawers are fantastic. 
Easy to put together , Even for this old person!| Love the modularity. I love the look of the shelf unit, assembly was very easy, and the idea of modules which are drawers, cabinets, or baskets is pure genius. Unfortunately it **is not very stable and I suspect** that it will need bracing before too long for it not to collapse."
70301542,Space,"Perfect **for vinyl record storage**. Must mount it though. This is perfect for my album collection. I used metal wall anchors from the hardware store to mount all four corners to the wall. I have about 900 vinyl albums and this holds them perfectly. As always follow the directions. Assembling on a carpet using a level are important. I also added wood glue to all the dowels so they stay solid. | **Space saving, beautiful**. Used this to replace a dresser in a small house, wish we saw it sooner! Able to **organize and save space! Still have ample** room on it for more. The doors and drawers are fantastic. 
Easy to put together , Even for this old person!| **Excellent LP records storage**. Minimalist and practical.| Excellent and elegant. Excellent **does bookshelves and storage** , elegant and easily to assemble."
70301542,Value,"Good & long-lasting but needs better options.. We still have one bought back in 2005!!! That's over 12 years and no peeling or breakages despite it has been holding quite a number of books and the overall weight was rather hefty (although we did put the heaviest at the bottom and lightest at the top). We recently purchased a second unit with the intention to put it on wheels. If you think about doing the same, I would not go that route unless you plan to use it only for lightweight items, not books. Even with 1/2 the books it could hold per square, the whole structure would be far too heavy to use the wheels provided by Ikea.  We actually added solid wood strips some 5 inches wide running front to back at the bottom and stained them in a dark color. The strip have been attached with screws on the frame of the bottom plank (the center of the base is hollow). Those served as support for the wheels which added separately as they had a higher load rating (still ikea ones), but even then the solution wasn't a viable option because the unit became too flimsy feeling when under load and would be unreliable for use with heavy items. So the books went back to the old unit which we had to keep stationary and not add any wheels. And this one will be used as a movable partition for storage of lightweight items while providing some privacy on the other side of it. The plan was to use 2 of these but we had to change solution. Also during the test under load, the wheel left some scoring in our hardwood floor (apparently much less hard than the plastic of the wheels) so that was a complete deal breaker even if the unit would have reveal itself to be more stable when moved around. One aspect in which I wish the design would have been revised is to see the gaps that always form in the middle that is large enough to show the dowels which are supposed to connect the vertical square panels to the top closing plank. A 3rd screw might also help make the frame a bit more rigid. Mind you that we have not clued anything together to be able to disassemble as needed... so with that considered it's still a pretty sturdy **construction given its price point and overall** quality construction. We haven't needed to use the anchoring (we also have no kids or pets in the house), but we'd recommend it if you live in areas with seismic activity or have kids and pets, even if you don't load the unit all that much. I wish it had better options (like a set of 8 softer and high-load carrying wheels) as well as a better design for the insert with door, which ends up having a very poor fit in many cases and will need to be heavily tweaked making it the more time intensive assembling task... they should be redesigned and changed to a thin frame holding the swinging panel door with small pins acting as stops to prevent the door from traveling inwards more than it should. The back plate could be much the same as long as machining will be kept as precise as possible. That said, if you use this as simple shelving unit to hold some books and display small object, it will serve you for years if not decades to come.| Best **Bookcases for the money**. I have purchased 10 Kallax bookcases in various configurations. My husband is a book collector and likes the fact that you can put books on both sides just like library. The current on is the biggest we have purchased and will be used as a room divider.| Wonderful for boardgames. Kallax is the premier shelving unit for storing boardgames. Sturdy, long lasting, ability to hold many, many games. **Great price for value.**| **What a value**. Very happy with the solid construction for storing books and LP records. A great organizer in a compact space."
70301542,Material,"Perfect for vinyl record storage. Must mount it though. This is perfect for my album collection. I used metal wall anchors from the hardware store to mount all four corners to the wall. I have about 900 vinyl albums and this holds them perfectly. As always follow the directions. Assembling on a carpet using a level are important. **I also added wood glue to all** the dowels so they stay solid. | A huge bummer. Nearly finished building it when one of the screws simply would not screw in so tried to turn it to try a different angle, and a bunch **of the connecting wood pieces snapped and** lodged inside the shelves, impossible to get out. So can't finish putting it together and wasted the $270. Just terrible.| Love this! All is hidden. I do a lot of arts and crafts and this helped me **organize all my materials**. Also, looks beautiful in my living room and no one can see what is inside. No mess, no mess!!!!! ❤️| Good & long-lasting but needs better options.. We still have one bought back in 2005!!! That's over 12 years and no peeling or breakages despite it has been holding quite a number of books and the overall weight was rather hefty (although we did put the heaviest at the bottom and lightest at the top). We recently purchased a second unit with the intention to put it on wheels. If you think about doing the same, I would not go that route unless you plan to use it only for lightweight items, not books. Even with 1/2 the books it could hold per square, the whole structure would be far too heavy to use the wheels provided by Ikea.  We **actually added solid wood strips some 5** inches wide running front to back at the bottom and stained them in a dark color. The strip have been attached with screws on the frame of the bottom plank (the center of the base is hollow). Those served as support for the wheels which added separately as they had a higher load rating (still ikea ones), but even then the solution wasn't a viable option because the unit became too flimsy feeling when under load and would be unreliable for use with heavy items. So the books went back to the old unit which we had to keep stationary and not add any wheels. And this one will be used as a movable partition for storage of lightweight items while providing some privacy on the other side of it. The plan was to use 2 of these but we had to change solution. Also during the test under load, the wheel left some scoring in our hardwood floor (apparently much less **hard than the plastic of the wheels)** so that was a complete deal breaker even if the unit would have reveal itself to be more stable when moved around. One aspect in which I wish the design would have been revised is to see the gaps that always form in the middle that is large enough to show the dowels which are supposed to connect the vertical square panels to the top closing plank. A 3rd screw might also help make the frame a bit more rigid. Mind you that we have not clued anything together to be able to disassemble as needed... so with that considered it's still a pretty sturdy construction given its price point and overall quality construction. We haven't needed to use the anchoring (we also have no kids or pets in the house), but we'd recommend it if you live in areas with seismic activity or have kids and pets, even if you don't load the unit all that much. I wish it had better options (like a set of 8 softer and high-load carrying wheels) as well as a better design for the insert with door, which ends up having a very poor fit in many cases and will need to be heavily tweaked making it the more time intensive assembling task... they should be redesigned and changed to a thin frame holding the swinging panel door with small pins acting as stops to prevent the door from traveling inwards more than it should. The back plate could be much the same as long as machining will be kept as precise as possible. That said, if you use this as simple shelving unit to hold some books and display small object, it will serve you for years if not decades to come."
19294535,Space,**So much organized space**. Looks great on our wall. Just adds a cool feature.
19294535,Appearance,So much organized space. **Looks great on our** wall. Just adds a cool feature.
